index	label	sentence	POS	w_index	target	word_sense	definition	metaphor_flag	target_domain	tenor
fet-fragment01 128	1	His smooth brown hair was as thick as ever but shot now with needles of glittering silver.	NOUN	16	silver.	a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography	"A lustrous, white, metallic element, atomic number 47, atomic weight 107.87, symbol Ag."	1	needles	strands of gray or white hair
as6-fragment02 372	1	"During the 16 July parliamentary debate on Civil Disturbances, Roy Hattersley's formulation of this linkage provided a useful summary of the social conditions argument."	NOUN	14	linkage	linkage	A mechanical device that connects things.	1	mechanism	conceptual connection between social conditions and civil disturbances
a1e-fragment01 23	1	He rejects charges that he was partly responsible for the casino atmosphere that gripped US corporate life in the early 1980s.	NOUN	10	casino	a public building for gambling and entertainment	A public building or room for gambling.	1	casino	reckless and high-risk behavior in corporate culture
ahc-fragment60 1238	1	"Large boulders stood out beside the path as grey blobs in the featureless sheets of pale grass, and flat stones had been placed as bridges across the burns, their backs hollowed by the tread of feet through the centuries."	NOUN	13	sheets	bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs	A thin bed cloth used as a covering for a mattress or as a layer over the sleeper.	1	bed linen	"expansive, uniform stretches of pale grass"
crs-fragment01 53	1	"Instead, for a number of reasons, it proved to be a key step in the development of the debate about integration in Islington."	NOUN	12	step	the act of changing location by raising the foot and setting it down	An advance or movement made from one foot to the other; a pace.	1	movement	an important stage or action in the development of the debate
g0l-fragment01 81	1	"Lucy's four main contacts were Major General Oster who was the head of the Abwehr; Admiral Canaris who was later hanged for his part in the 1944 bomb plot; Carl Goehdeler who was leader of the official opposition to Hitler; and Colonel Boetzel, the commanding officer of Intelligence Evaluation."	NOUN	3	contacts	close interaction	The act of touching physically; being in close association.	1	connections	individuals with whom Lucy maintained close professional or strategic associations
ccw-fragment03 1623	1	"The only incongruous note was a cheap round badge, enamelled in red and yellow, that he wore on his shirt, which bore the legend Just Say No!."	NOUN	3	note	make mention of	A symbol or annotation.	1	music	a symbol or annotation
a9j-fragment01 33	1	"The struggle reflects a revolution in mass consciousness, by which people have come to realise that ideas and aspirations must be embodied in manifest acts if reality is to be changed."	NOUN	4	revolution	a drastic and far-reaching change in ways of thinking and behaving	A political upheaval in a government or state characterized by great change.	1	upheaval	a drastic and far-reaching change in ways of thinking and behaving
ea7-fragment03 803	1	"Similarly, campaigning in the field imposed an increasing financial burden."	NOUN	9	burden.	weight to be borne or conveyed	A heavy load.	1	weight	financial strain or difficulty
a2d-fragment05 49	1	By the mid-80s they had all gone the way of the buffalo: extinct save for preservation in the national park of permanent re-runs.	NOUN	19	park	a large area of land preserved in its natural state as public property	An area of land set aside for environment preservation or recreation.	1	preservation	a space (like TV re-runs) where something is kept alive or maintained despite being otherwise extinct
g0l-fragment01 169	1	"They remembered the Lucy network, their gateway out of Germany."	NOUN	6	gateway	an entrance that can be closed by a gate	An entrance capable of being blocked by use of a gate.	1	entrance	a means of escape or exit from Germany
a80-fragment15 276	1	"THE ALL BLACKS begin the Irish leg of their 13-match tour at Lansdowne Road today against Leinster, who have never beaten a major touring side."	NOUN	6	leg	a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle	A limb or appendage that an animal uses for support or locomotion.	1	limb	segment or part of a tour
g0l-fragment01 112	1	"Sorge was annoyed with himself, irritated that he had allowed the Intelligence man to get under his skin."	NOUN	17	skin.	a natural protective body covering and site of the sense of touch	"The outer protective layer of the body of any animal, including of a human."	1	armor	emotional defenses or personal boundaries
a7s-fragment03 41	1	THERE was one point when the hair on the back of my head began to lift.	NOUN	3	point	mark (Hebrew words) with diacritics	A discrete division of something.	1	mark	a specific moment in time
ew1-fragment01 128	1	The coordination of competing party bodies was carried out with surprising ease.	NOUN	5	bodies	"the entire structure of an organism (an animal, plant, or human being)"	Physical frame.	1	organism	competing party groups or organizations
a3c-fragment05 219	1	"Does any drink look more quenching than one of those Italian or French patent aperitifs, swirling in a refractive pink or russet oiliness, clothing the melting ice: a Campari, Dubonnet, Lillet or( too rare in this country) a Picon?"	NOUN	22	"oiliness,"	consisting of or covered with oil	The quality of being oily.	1	viscosity	"the rich, smooth texture of the aperitif as it coats the ice"
fet-fragment01 69	1	In the catalogue John House quoted Monet's description of the painted light around the snowy haystacks as an enveloping veil.	NOUN	18	enveloping	enclose or enfold completely with or as if with a covering	enveloping	1	veil	the painted light around the snowy haystacks
a3c-fragment05 195	1	"To enjoy it, we do not need to be dry: just in need of a restorative or relaxant, or maybe a focus for a social moment or brief encounter."	NOUN	21	focus	cause to converge on or toward a central point	A point at which reflected or refracted rays of light converge.	1	lens	a central point of attention or activity in a social interaction
ew1-fragment01 53	1	"In August 1911 the diehard peers used language as violent as any that Law was to use later, and in the crucial decision on the House of Lords Law sided with the hedgers rather than the ditchers."	NOUN	36	ditchers.	ditchers.	plural of ditcher	1	ditch	"those who oppose or resist change (specifically, the peers who opposed the Parliament Act 1911)"
kbh-fragment41 5247	1	"Yeah, she's only coming up for six weeks, mm, a monster."	NOUN	10	monster.	(medicine) a grossly malformed and usually nonviable fetus	A terrifying and dangerous creature.	1	creature	a person who is perceived as terrifying or dangerous
bpa-fragment14 2304	1	"Apart from some dark patches on the wall that he hadn't noticed before, there was nothing to see."	NOUN	4	patches	a piece of cloth used as decoration or to mend or cover a hole	"A piece of cloth, or other suitable material, sewed or otherwise fixed upon a garment to repair or strengthen it, especially upon an old garment to cover a hole."	1	cloth	discolored or stained areas on the wall
a6u-fragment02 172	1	The enormous rise in the economic value of her work has developed in tandem with the increased critical and popular response to her particular blend of naive style and incisive content.	NOUN	13	tandem	tandem	"A carriage pulled by two or more draught animals  harnessed one behind the other, both providing the pulling power but only the animal in front able to steer."	1	carriage	simultaneous or parallel development of two related phenomena
a6u-fragment02 266	1	"The rhetoric of the Tehuana opposes the nihilism of traditional feminisations of colonial trauma, and asserts the potential of a dignified cultural resistance."	NOUN	13	"trauma,"	an emotional wound or shock often having long-lasting effects	"Any serious injury to the body, often resulting from violence or an accident."	1	injury	the long-lasting emotional and psychological effects of colonial oppression
a4d-fragment02 97	1	"As a result, he was able to create a symmetrical, monumental composition of great power."	NOUN	14	power.	possession of controlling influence	Ability to do or undergo something.	1	force	ability to create a strong aesthetic or emotional impact
as6-fragment01 71	1	"the encouragement of private investment and the liberation of the market; the containment of the forces of social discontent; the control of the powers of the local authorities; and the encouragement of the movement of the wealthy into the inner city thus creating buffer areas of Tory support, accentuating inequalities and injustice and( hopefully though not necessarily) reducing the potential for conflict among the urban poor."	NOUN	7	liberation	the act of liberating someone or something	The act of liberating or the state of being liberated.	1	freedom	the deregulation or removal of restrictions on market activities
amm-fragment02 1652	1	"The analogy is found in such ocean-going amphipods( a kind of shrimp) as Cystosoma, which also has enormously expanded eyes, looking like headlamps, compared with its bottom-dwelling relatives( see above)."	NOUN	22	"headlamps,"	a powerful light with reflector; attached to the front of an automobile or locomotive	"An individual headlight, particularly of a motor vehicle."	1	headlamps	the enormously expanded eyes of Cystosoma
cdb-fragment02 511	1	"It would be bad enough if I were a G P or an expert in some other branch of medicine, an orthopaedic surgeon, for instance, or an ear, nose and throat man, but I am a gynaecologist, and it is the bones of a young woman and a baby that have been found there"	NOUN	17	branch	a division of some larger or more complex organization	The woody part of a tree arising from the trunk and usually dividing.	1	tree	division of a larger or more complex organization (medicine in this context)
as6-fragment02 375	1	"It was the conditions of deprivation and despair in the decaying areas of our old cities areas in which the Brixton and Toxteth riots took place, and areas from which the skinhead invaders of Southall come."	NOUN	32	invaders	someone who enters by force in order to conquer	One who invades a region	1	military	aggressive outsiders entering a community
a1n-fragment18 367	1	"Very kind, but international players are supposed to be habitually influential, and it was Hazard who in the second half, with a few incisive passes, gifts from the heavens on a day like this, left a greater mark."	NOUN	28	heavens	any place of complete bliss and delight and peace	"The sky, specifically:"	1	heavens	exceptional or divine quality of the passes
c8t-fragment01 13	1	"The headland was empty and almost bare, the few straggling trees, distorted by the wind, struggled to keep their precarious hold in the uncompromising soil."	NOUN	20	hold	keep from departing	A grasp or grip.	1	grip	the trees' ability to maintain their rooted position in the soil
alp-fragment01 94	1	Probably the best illustration of the assisting method in action during the course comes in the fifth session when Somerset practitioners take the logic of working with the problem in the community to its ultimate conclusion.	NOUN	3	illustration	artwork that helps make something clear or attractive	The act of illustrating; the act of making clear and distinct;	1	artwork	the act of making clear and distinct
acj-fragment01 71	1	"The result would be that killings were classified and labelled in a more refined way, but at the cost of lengthy trials and mounting legal-aid bills."	NOUN	18	cost	be priced at	"Amount of money, time, etc. that is required or used."	1	price	negative consequences or sacrifices incurred (lengthy trials and mounting legal-aid bills)
alp-fragment01 27	1	Punishment is just a word after all: nothing more than convenient political rhetoric meriting only lip-service from probation managers and practitioners poised at the window of opportunity.	NOUN	15	lip-service	either of two fleshy folds of tissue that surround the mouth and play a role in speaking	Alternative form of lip service	1	lips	insincere or superficial acknowledgment or support
ahf-fragment63 1191	1	"Between his becoming Prime Minister and his party's fall in the polls about 10 days ago, Major did nearly everthing that common opinion wanted him to do."	NOUN	8	fall	fall from clouds	The act of moving to a lower position under the effect of gravity.	1	descent	decline in popularity or support
kbw-fragment17 6137	1	"And this man came to the door, and he went to get the belt, that should just have a tape recorder on conversation just throughout the week so it's getting all sorts of rubbish going in there,"	NOUN	33	rubbish	rubbish	"Refuse, waste, garbage, junk, trash."	1	garbage	meaningless or worthless conversation
kbc-fragment13 6219	1	Why did they take it a stage further with him?	NOUN	6	stage	any distinct time period in a sequence of events	A phase.	1	theater	a phase in a sequence of events
a1m-fragment01 58	1	"Britain, with its growing traffic problems, seems an ideal place for the onset of this revolution."	NOUN	15	revolution.	the overthrow of a government by those who are governed	A political upheaval in a government or state characterized by great change.	1	upheaval	significant transformation in transportation or societal norms
cdb-fragment02 390	1	"So Lewis did not say, even to himself, when he was privately considering trying to get hold of his son in Tenerife, that he disliked Adam and would have been pleased to spoil his holiday."	NOUN	16	hold	keep from departing	A grasp or grip.	1	grasp	control or influence over his son
fpb-fragment01 1207	1	"Elinor was sometimes at a loss for the right word, or name, and then became impatient with herself; she was often frustrated because she couldn't move as swiftly as she did before."	NOUN	5	loss	the act of losing someone or something	"The result of no longer possessing an object, a function, or a characteristic due to external causes or misplacement."	1	misplacement	inability to recall or find the right word
a6u-fragment02 264	1	The female soil possessed and misused by the masculine force of the Spanish invaders.	NOUN	9	force	a powerful effect or influence	Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.	1	storm	the oppressive and destructive power of the Spanish invaders
cdb-fragment04 913	1	Lewis's subdued air had changed to one of high good humour.	NOUN	2	air	the region above the ground	"The substance constituting earth's atmosphere, particularly:"	1	atmosphere	Lewis's mood or demeanor
bpa-fragment14 2203	1	"When she checked through the spyhole it was standing in exactly the same spot, unmoving, like a lizard."	NOUN	17	lizard.	relatively long-bodied reptile with usually two pairs of legs and a tapering tail	"Any reptile of the order Squamata that is not a snake or an amphisbaenian, usually having four legs, external ear openings, movable eyelids and a long slender body and tail."	1	lizard	something standing completely still and unmoving
ajf-fragment07 221	1	But Stewart snaps: I don't want to be disappointed so I'm not going to ask for their help.	NOUN	2	snaps:	put in play with a snap	A quick breaking or cracking sound or the action of producing such a sound.	1	sound	responds abruptly or angrily
as6-fragment01 8	1	"The inner city has been variously regarded as a cause for moral outrage, a threat to public order, or as a stain on the nation's conscience."	NOUN	21	stain	a symbol of disgrace or infamy; --Genesis	A discoloured spot or area.	1	stain	a source of shame or moral blemish on the nation's collective moral awareness
as6-fragment01 42	1	"Recently, of course, there has been an added dimension part media-and-politician inflated, part real: drugs."	NOUN	8	dimension	the magnitude of something in a particular direction (especially length or width or height)	A single aspect of a given thing.	1	space	a single aspect of a given thing
fet-fragment01 177	1	"He was in flight from his family, his dead alter ego, his uncertain sense of identity."	NOUN	3	flight	an instance of traveling by air	The act of flying.	1	escape	"the act of physically or emotionally distancing oneself from one's family, past self, and unresolved identity issues"
a9j-fragment01 73	1	It would add another necessary touch in the process of creating a Palestinian home.	NOUN	13	home.	where you live at a particular time	A dwelling.	1	dwelling	a sovereign Palestinian state or nation
fet-fragment01 223	1	"He knew about the light shining in darkness, and had come, for reasons completely different from Alexander's desire for exactness, specificity, to mistrust figurative language."	NOUN	7	"darkness,"	absence of light or illumination	The state of being dark; lack of light; the absolute or comparative absence of light.	1	ignorance	lack of understanding or knowledge
as6-fragment01 76	1	"It was initiated partly in response to the furore caused by Enoch Powell's 1969 rivers of blood speech, much as disturbances at the 1976 Notting Hill Carnival prompted further steps on the part of the Department of the Environment A riot makes a much bigger impact on government thinking, as Donnison( 1987) has pointed out, than any amount of earnest and accurate research."	NOUN	45	impact	the striking of one body against another	The striking of one body against another; collision.	1	collision	significant influence on government thinking
a38-fragment01 26	1	"Diesel always has been lead-free and the only adjustments you need to make are mental ones, because diesel-powered cars are no longer slow, smelly or noisy."	NOUN	8	adjustments	the act of adjusting something to match a standard	The action of adjusting something	1	tuning	changing one's mindset or perceptions
a1f-fragment07 148	1	"Sir: Despite a significant gap in the Labour Party's education and training proposals, their objective to double the number of 16-18year-olds in full-time education must be welcomed( 28 September)."	NOUN	4	gap	a narrow opening	An opening in anything made by breaking or parting.	1	opening	a significant deficiency or omission in the Labour Party's education and training proposals
as6-fragment01 18	1	"Meanwhile, in many parts of the country, a problem as old as cities themselves tension between cultural groups, between earlier immigrants and newer ones, between black, brown, and white, and( increasingly) between large sections of urban youth and the police came to be identified as the key inner-city issue."	NOUN	14	tension	the physical condition of being stretched or strained	"The condition of being held in a state between two or more forces, which are acting in opposition to each other."	1	strain	"social conflict or opposition between cultural groups, immigrants, racial groups, and urban youth vs. police"
kbp-fragment09 3638	1	Thirty five a snatch back or the repossession type thing I suppose.	NOUN	3	snatch	to grasp hastily or eagerly	A quick grab or catch.	1	grab	repossession of property
ew1-fragment01 73	1	Party organization provided the easiest advances because it was the only area entirely under the party's control.	NOUN	5	advances	"obtain advantages, such as points, etc."	A forward move; improvement or progression.	1	movement	improvement or progression in party organization
a1g-fragment27 428	1	"But Nicholas's grand design collapsed in 1918 when his Serbian son-in-law, Alexander, deposed him and incorporated Montenegro into Yugoslavia."	NOUN	3	design	create designs	"A specification of an object or process, referring to requirements to be satisfied and thus conditions to be met for them to solve a problem."	1	blueprint	Nicholas's political plan or ambition
crs-fragment01 70	1	Many commented on lack of information about the range of facilities on offer.	NOUN	8	range	the limits within which something can be effective	"A line or series of mountains, buildings, etc."	1	mountains	variety of facilities available
bpa-fragment14 2163	1	"Like a chameleon, it moved out of the aisle between machines, then stopped, and became utterly motionless."	NOUN	2	"chameleon,"	lizard of Africa and Madagascar able to change skin color and having a projectile tongue	"A small to mid-size reptile, of the family Chamaeleonidae, and one of the best known lizard families able to change color and project its long tongue."	1	chameleon	something or someone that adapts or changes behavior to blend in or remain unnoticed
fet-fragment01 123	1	"Like many hirsute men he had thinned a little on top where once his black fur had been extravagant, but he had a plentiful and prickling black beard, and his body was still compact and very heavy."	NOUN	15	fur	"dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)"	"The hairy coat of various mammal species, especially when fine, soft and thick."	1	fur	"the man's thick, black head hair"
b1g-fragment02 750	1	In effect the product of the discussion in both parts is a matrix where the methodological issues are listed along one axis and particular applications fields on the other.	NOUN	3	product	commodities offered for sale	A commodity offered for sale.	1	commodity	the result or outcome of the discussion
ahf-fragment63 1202	1	But there seemed nothing wrong with the head of government appearing to be the challenger on the hustings.	NOUN	7	head	a person who is in charge	"The part of the body of an animal or human which contains the brain, mouth, and main sense organs."	1	body	person in charge of government
as6-fragment02 422	1	"Even the Daily Mail, which deployed the clearest use of race and outside agitator arguments, ran a major story on Broadwater Farm under the headline: Burnt-out hulks litter this concrete jungle despair hangs heavy( 8 October 1985)."	NOUN	30	jungle	an impenetrable equatorial forest	"A large, undeveloped, humid forest, especially in a tropical region, that is home to many wild plants and animals; a tropical rainforest."	1	jungle	"urban environment characterized by chaos, danger, and neglect"
as6-fragment01 45	1	Smoking heroin( chasing the dragon) was one feature of the upsurge.	NOUN	4	dragon)	any of several small tropical Asian lizards capable of gliding by spreading winglike membranes on each side of the body	A legendary serpentine or reptilian creature.	1	dragon	"the fleeting, elusive high from smoking heroin"
clp-fragment01 815	1	"For example, difficulties of communications and in particular, how to inculcate the feeling within each individual that he and his performance are important to the organisation."	NOUN	12	feeling	"perceive by a physical sensation, e.g., coming from the skin or muscles"	"Sensation, particularly through the skin."	1	sensation	the emotional or psychological perception of importance within an organization
ac2-fragment06 1553	1	"New York and Detroit will come up with an attractive separation package, you can be sure of that."	NOUN	11	"package,"	a wrapped container	"Something which is packed, a parcel, a box, an envelope."	1	parcel	a set of benefits or terms offered to facilitate separation
kbw-fragment17 6263	1	"But as they do, it's gon na hit her cos it's not year that it doesn't help, see if she's in a third year class, she was always as she is now, in the top of that, but even"	NOUN	34	top	situated at the top or highest position	The highest or uppermost part of something.	1	position	highest level of achievement or performance in her class
clp-fragment01 769	1	The Human Resource concept of man-power as the central profitÃÂ´_generating asset of any organisation has made some progress over the past twenty years.	NOUN	10	asset	a useful or valuable quality	"Something that has value, especially something that generates cash flows."	1	property	a valuable quality or resource that generates profit
a6u-fragment02 172	1	The enormous rise in the economic value of her work has developed in tandem with the increased critical and popular response to her particular blend of naive style and incisive content.	NOUN	2	rise	increase in value or to a higher point	The process of or an action or instance of moving upwards or becoming greater.	1	ascent	increase in economic value
a1p-fragment03 75	1	But they will take into account the need for that balance that says that social spending without underpinning by economic growth will not be sustained in any event.	NOUN	10	balance	a state of equilibrium	A state in which opposing forces harmonise; equilibrium.	1	equilibrium	a state in which social spending and economic growth harmonize to ensure sustainability
as6-fragment02 359	1	"The scourge of criminal violence was, Whitelaw argued, a danger to the whole framework of consent and legality on which the political institutions of British society were based."	NOUN	1	scourge	punish severely; excoriate	A source of persistent trouble such as pestilence that causes pain and suffering or widespread destruction.	1	pestilence	"a source of persistent trouble causing pain, suffering, or widespread destruction"
a1k-fragment02 72	1	"Fulham Greyhound 175 Fulham Palace Rd, W6( 385 0526) Home of heavy rock, so take your ear-plugs."	NOUN	9	Home	where you live at a particular time	A dwelling.	1	dwelling	a venue or hub for heavy rock music
ac2-fragment06 1481	1	The wheels have already been set in motion.	NOUN	7	motion.	a change of position that does not entail a change of location	A state of progression from one place to another.	1	movement	the process of initiating or progressing in a plan or action
clp-fragment01 807	1	"Some peaks of demand can be dealt with by using consultants, but they tend to be expensive and do not always fit well with ill-defined but important factors such as the favoured style of the organisation."	NOUN	1	peaks	the highest level or degree attainable; the highest stage of development	"A point; the sharp end or top of anything that terminates in a point; as, the peak, or front, of a cap."	1	mountain	highest levels of demand
fpb-fragment01 1100	1	"Why not give sex a rest for a bit, and pay a bit of attention to yourself?"	NOUN	5	rest	a state of inaction	Relief from work or activity by sleeping; sleep.	1	sleep	temporary cessation or reduction of sexual activity
ea7-fragment03 831	1	"It was within this kind of environment that chivalry flourished, that young men learned to identify, their vassalage towards their lord as a symbol of their honour, that they debated the relative merits of Roland's and Oliver's way of displaying loyalty; and that they learned the finer points of jousting."	NOUN	23	symbol	an arbitrary sign (written or printed) that has acquired a conventional significance	"A character or glyph representing an idea, concept or object."	1	glyph	a representation of their honour through vassalage
as6-fragment02 429	1	"The general form relied on the argument that the riots were not a form of protest against the insufferable social conditions of inner-city areas or the actions of the police, but a criminal act or a cry for loot."	NOUN	36	cry	cry	A shedding of tears; the act of crying.	1	tears	a demand or expression of desire for material gain (loot)
g0l-fragment01 91	1	"With the Allies advancing on the Eastern and Western fronts, many high-ranking Germans were out to save their own necks."	NOUN	9	"fronts,"	the line along which opposing armies face each other	The foremost side of something or the end that faces the direction it normally moves.	1	body	the line along which opposing armies face each other
alp-fragment01 88	1	At the start of the session the tutor's notes make clear that directing extends beyond enforcing the conditions of attendance:	NOUN	13	extends	extend in scope or range or area	extends	1	physical expansion	encompasses or includes more aspects
ea7-fragment03 854	1	For other French houses a commitment to Outremer often represented a sacrifice of domestic political interest.	NOUN	11	sacrifice	the act of killing (an animal or person) in order to propitiate a deity	The offering of anything to a god; a consecratory rite.	1	offering	the act of giving up domestic political interests for a commitment to Outremer
amm-fragment02 1641	1	"So we can deduce what the field of vision of our globular-eyed trilobite was, by looking at the directions in which all the lenses face."	NOUN	6	field	somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected	"A land area free of woodland, cities, and towns; an area of open country."	1	land	the extent or range of vision
ahf-fragment63 1173	1	There were also some lines intended for local consumption: Higher petrol prices from the Liberal Democrats that's not gon na help a rural area	NOUN	4	lines	a spatial location defined by a real or imaginary unidimensional extent	"A path through two or more points ; a continuous mark, including as made by a pen; any path, curved or straight."	1	path	statements or messages intended for a specific audience
ccw-fragment03 1617	1	"His long black hair was tied into its ponytail with a velvet ribbon, his skin was parchment pale, and his eyes dark."	NOUN	16	parchment	a superior paper resembling sheepskin	"Material, made from the polished skin of a calf, sheep, goat or other animal, used like paper for writing."	1	parchment	extremely pale skin
ew1-fragment01 15	1	Chamberlain provided the way out by suggesting to Balcarres that both he and Long should withdraw and so allow Law to be elected unanimously; he also turned down Balcarres's remarkable advice that he should allow Long to be elected since Long would make such a mess of things that Chamberlain would be bound to succeed within the year.	NOUN	45	mess	a state of confusion and disorderliness	"A disagreeable mixture or confusion of things; hence, a situation resulting from blundering or from misunderstanding."	1	chaos	a situation resulting from blundering or from misunderstanding
bpa-fragment14 2180	1	"George, the sacrificial dummy, hadn't emitted a squeak for a long time."	NOUN	3	"dummy,"	"dummy,"	A silent person; a person who does not talk.	1	puppet	a silent person who does not talk or protest
ea7-fragment03 836	1	They offered opportunities for men of skill to acquire great position in the world Arnoul of Ardres caught the eye of Countess Ida of Boulogne through his exploits; and they also conferred lustre on the great Geoffrey le Bel and Philip of Alsace were throughout France for their distinguished performances in these show battles.	NOUN	32	lustre	the visual property of something that shines with reflected light	Alternative form of luster	1	shine	enhanced reputation or prestige
a9j-fragment01 57	1	It would provide the multitudinous popular committees and activities with a more advanced form of organisation and structure.	NOUN	13	form	to compose or represent:	To do with shape.	1	shape	a more advanced type of organization and structure
a8m-fragment02 68	1	"In an ideal world, there would be no need for either, but for now I would rather see the frustration expressed in these light-hearted terms than in the sort of man-hating bitterness that has given feminism such a bad name."	NOUN	31	bitterness	the property of having a harsh unpleasant taste	The quality of having a bitter taste.	1	taste	resentment or hostility
a8u-fragment14 359	1	Hammerson shot up 45p to 855p in sympathy.	NOUN	7	sympathy.	sharing the feelings of others (especially feelings of sorrow or anguish)	A feeling of pity or sorrow for the suffering or distress of another.	1	emotion	a correlated or responsive movement in financial markets
ea7-fragment03 815	1	"The divergence was sharpened by the application of a theoretical distinction, the fruit of Augustinian theology, amplified as the century went on by canon and Roman law reference; princes pronounced their campaigns just wars( fought against aggressors with the aim of re-establishing peace) or public wars( declared by a competent authority in the public interest), while they condemned the wars of lesser men as infractions of the peace."	NOUN	6	application	the act of bringing something to bear; using it for a particular purpose	"The act of applying or laying on, in a literal sense"	1	tool	the act of using a theoretical distinction to clarify or intensify the divergence
a6u-fragment02 212	1	"The ostensibly matriarchal society of Tehuantepec led to the adoption of the Tehuana, in post-revolutionary Mexico, as the image of the strong Indian woman; the undefeated counterpart to the despised Chingada, who, conversely is the female embodiment of Mexico's hybrid post-conquest culture."	NOUN	18	image	a visual representation (of an object or scene or person or abstraction) produced on a surface	An optical or other representation of a real object; a graphic; a picture.	1	representation	symbolic embodiment or ideal
c8t-fragment01 2	1	"Once free of the knotted tentacles of the eastern suburbs, Dalgliesh made good time and by three he was driving through Lydsett village."	NOUN	5	tentacles	any of various elongated tactile or prehensile flexible organs that occur on the head or near the mouth in many animals; used for feeling or grasping or locomotion	"An elongated, boneless, flexible organ or limb of some animals, such as the octopus and squid."	1	tentacles	the confusing and restrictive nature of the eastern suburbs' layout or traffic
a3c-fragment05 219	1	"Does any drink look more quenching than one of those Italian or French patent aperitifs, swirling in a refractive pink or russet oiliness, clothing the melting ice: a Campari, Dubonnet, Lillet or( too rare in this country) a Picon?"	NOUN	5	quenching	satisfy (thirst)	The extinction of any of several physical properties.	1	extinction	satisfy (thirst)
as6-fragment01 71	1	"the encouragement of private investment and the liberation of the market; the containment of the forces of social discontent; the control of the powers of the local authorities; and the encouragement of the movement of the wealthy into the inner city thus creating buffer areas of Tory support, accentuating inequalities and injustice and( hopefully though not necessarily) reducing the potential for conflict among the urban poor."	NOUN	47	"support,"	aiding the cause or policy or interests of	Something which supports.	1	buffer	areas of Tory support that mitigate or absorb social tensions
b1g-fragment02 741	1	"Given the extent to which geographic information management is applications driven, it is important to consider in some depth the characteristics of some potential application fields."	NOUN	9	applications	a program that gives a computer instructions that provide the user with tools to accomplish a task	"The act of applying or laying on, in a literal sense"	1	driver	the motivating force or primary factor behind geographic information management
cdb-fragment04 881	1	Nemesis had still come down like the wolf on the fold.	NOUN	0	Nemesis	(Greek mythology) the goddess of divine retribution and vengeance	An archenemy	1	wolf	an archenemy bringing swift and destructive retribution
a6u-fragment02 292	1	"There is no place there for the values the Tehuana dress represents, its folds are given meaning by Kahlo's search for a cultural identity."	NOUN	19	search	the activity of looking thoroughly in order to find something or someone	An attempt to find something.	1	journey	Kahlo's attempt to find or establish a cultural identity
fpb-fragment01 1090	1	"I don't want the disorder, the pain, the mess, or the misery of being in love."	NOUN	8	"mess,"	a state of confusion and disorderliness	"A disagreeable mixture or confusion of things; hence, a situation resulting from blundering or from misunderstanding."	1	mess	the emotional turmoil and complications of being in love
a38-fragment01 24	1	"On the home front, most Fords and Vauxhalls from at least the mid-Eighties can use unleaded."	NOUN	3	"front,"	the side that is forward or prominent	The foremost side of something or the end that faces the direction it normally moves.	1	battlefield	domestic or civilian sphere (as opposed to military)
acj-fragment01 130	1	One approach would be to draw the line by reference to the degree of probability.	NOUN	7	line	a mark that is long relative to its width	"A path through two or more points ; a continuous mark, including as made by a pen; any path, curved or straight."	1	boundary	a threshold or limit defining a distinction or decision point
bpa-fragment14 2126	1	"He'd never been one to exercise an over-imagination, yet the conditions were like the feeling of a tomb of an interment."	NOUN	17	tomb	a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)	"A small building  for the remains of the dead, with walls, a roof, and  a door. It may be partly or wholly in the ground  in a cemetery, or it may be inside a church proper or in its crypt. Single tombs may be permanently sealed; those for families  have doors for access whenever needed."	1	tomb	oppressive and suffocating conditions
acj-fragment01 127	1	"In discussing the boundaries of murder, we are concerned with classification, not exculpation."	NOUN	3	boundaries	a line determining the limits of an area	The dividing line or location between two areas.	1	line	the conceptual limits or distinctions in defining murder
c8t-fragment01 124	1	"Dalgliesh got out of the Jaguar and tried to extricate him from the pushchair, but the anatomy of the chair momentarily defeated him."	NOUN	16	anatomy	the branch of morphology that deals with the structure of animals	"The art of studying the different parts of any organized body, to discover their situation, structure, and economy."	1	anatomy	the structure or design of the pushchair
a6u-fragment02 213	1	"In a culture where sexual metaphors are frequently used to convey racial and political conflict, the Tehuana represents that aspect of Mexico's indigenous tradition unbowed by centuries of colonial and male rule."	NOUN	31	rule.	a principle or condition that customarily governs behavior	"A regulation, law, guideline."	1	domination	the oppressive control exerted by colonial and male power structures
a2d-fragment05 52	1	"There are encouraging signs, however, that the TV western is struggling back into the saddle."	NOUN	14	saddle.	put a saddle on	A seat  for a rider placed on the back of a horse or other animal.	1	saddle	returning to a familiar or active role
a2d-fragment05 84	1	"In the inert 1950s the western represented a troubled, adventurous American past."	NOUN	2	inert	unable to move or resist motion	A substance that does not react chemically.	1	substance	the uneventful or unchanging nature of the 1950s
